,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
24,Co2TiSi,24,Curie,190.0,False,2,"{'Co': 2.0, 'Ti': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
83,La2CoMnO6,83,Curie,200.0833333333333,False,12,"{'La': 2.0, 'Co': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
95,Co2TiAl,95,Curie,99.66666666666669,False,6,"{'Co': 2.0, 'Ti': 1.0, 'Al': 1.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
110,LaCo5H4,110,Curie,300.0,False,2,"{'La': 1.0, 'Co': 5.0, 'H': 4.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
111,Dy2CoAl3,111,Curie,33.0,False,1,"{'Dy': 2.0, 'Co': 1.0, 'Al': 3.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
123,NiMnCoSn,123,Curie,321.0,False,1,"{'Ni': 1.0, 'Mn': 1.0, 'Co': 1.0, 'Sn': 1.0}",True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
131,DyCo2,131,Curie,1002.9375,False,16,"{'Dy': 1.0, 'Co': 2.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
135,Nd2Co2I,135,Curie,59.0,False,1,"{'Nd': 2.0, 'Co': 2.0, 'I': 1.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
148,CoV,148,Curie,250.0,False,1,"{'Co': 1.0, 'V': 1.0}",True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
152,Co2MnSn,152,Curie,656.2,False,5,"{'Co': 2.0, 'Mn': 1.0, 'Sn': 1.0}",True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
156,LaCo12B6,156,Curie,155.0,False,2,"{'La': 1.0, 'Co': 12.0, 'B': 6.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
162,LaSrMnCoO6,162,Curie,225.0,False,2,"{'La': 1.0, 'Sr': 1.0, 'Mn': 1.0, 'Co': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
195,Co2CrBi,195,Curie,985.0,False,1,"{'Co': 2.0, 'Cr': 1.0, 'Bi': 1.0}",True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
207,TbCo3B2,207,Curie,29.0,False,2,"{'Tb': 1.0, 'Co': 3.0, 'B': 2.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
