,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
30,MnCr2O4,30,Curie,40.8,False,5,"{'Mn': 1.0, 'Cr': 2.0, 'O': 4.0}",True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42,YCrO4,42,Curie,9.0,False,2,"{'Y': 1.0, 'Cr': 1.0, 'O': 4.0}",True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
85,Ca2CrSbO6,85,Curie,15.2,False,5,"{'Ca': 2.0, 'Cr': 1.0, 'Sb': 1.0, 'O': 6.0}",True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
195,Co2CrBi,195,Curie,985.0,False,1,"{'Co': 2.0, 'Cr': 1.0, 'Bi': 1.0}",True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
201,Cr5Te8,201,Curie,180.0,False,1,"{'Cr': 5.0, 'Te': 8.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
222,HgCr2Se4,222,Curie,106.66666666666669,False,6,"{'Hg': 1.0, 'Cr': 2.0, 'Se': 4.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
285,LaCrSb3,285,Curie,117.33333333333331,False,6,"{'La': 1.0, 'Cr': 1.0, 'Sb': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
294,YbCrO4,294,Curie,25.0,False,2,"{'Yb': 1.0, 'Cr': 1.0, 'O': 4.0}",True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
378,Cr7,378,Curie,423.0,False,2,{'Cr': 7.0},True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
380,MnCr,380,Curie,170.0,False,2,"{'Mn': 1.0, 'Cr': 1.0}",True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
381,TlCrSe2,381,Curie,90.0,False,1,"{'Tl': 1.0, 'Cr': 1.0, 'Se': 2.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
432,FeCr2Se4,432,Curie,302.5,False,6,"{'Fe': 1.0, 'Cr': 2.0, 'Se': 4.0}",True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
437,CrTe,437,Curie,341.0769230769231,False,13,"{'Cr': 1.0, 'Te': 1.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
551,CuCr2Se4,551,Curie,425.25,False,8,"{'Cu': 1.0, 'Cr': 2.0, 'Se': 4.0}",True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
624,Cr3Te4,624,Curie,320.0,False,2,"{'Cr': 3.0, 'Te': 4.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
640,CuCr2Te4,640,Curie,326.0,False,1,"{'Cu': 1.0, 'Cr': 2.0, 'Te': 4.0}",True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
649,CoCr2O4,649,Curie,94.55555555555556,False,9,"{'Co': 1.0, 'Cr': 2.0, 'O': 4.0}",True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
662,CrSiTe3,662,Curie,45.25,False,4,"{'Cr': 1.0, 'Si': 1.0, 'Te': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
678,Fe2CrAl,678,Curie,241.7142857142857,False,7,"{'Fe': 2.0, 'Cr': 1.0, 'Al': 1.0}",True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
793,NiCrSi,793,Curie,648.3333333333334,False,3,"{'Ni': 1.0, 'Cr': 1.0, 'Si': 1.0}",True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
825,K2Cr8O16,825,Curie,180.0,False,1,"{'K': 2.0, 'Cr': 8.0, 'O': 16.0}",True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
862,Cr6,862,Curie,493.0,False,2,{'Cr': 6.0},True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
929,GdCr6Al6,929,Curie,175.0,False,1,"{'Gd': 1.0, 'Cr': 6.0, 'Al': 6.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
950,Sr2CrWO6,950,Curie,401.8888888888889,False,9,"{'Sr': 2.0, 'Cr': 1.0, 'W': 1.0, 'O': 6.0}",True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
992,NdCrGe3,992,Curie,68.0,False,4,"{'Nd': 1.0, 'Cr': 1.0, 'Ge': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1012,MnCr2S4,1012,Curie,65.5,False,4,"{'Mn': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1080,CdCr2Se4,1080,Curie,120.75,False,24,"{'Cd': 1.0, 'Cr': 2.0, 'Se': 4.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1098,CrBr3,1098,Curie,32.0,False,2,"{'Cr': 1.0, 'Br': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1102,CeCrSb3,1102,Curie,145.0,False,1,"{'Ce': 1.0, 'Cr': 1.0, 'Sb': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1113,Cr11,1113,Curie,323.0,False,2,{'Cr': 11.0},True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1159,CdCr2S4,1159,Curie,84.375,False,8,"{'Cd': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1228,Rb2Cr8O16,1228,Curie,295.0,False,1,"{'Rb': 2.0, 'Cr': 8.0, 'O': 16.0}",True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1338,CrBe12,1338,Curie,50.0,False,1,"{'Cr': 1.0, 'Be': 12.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1357,CuCr2S4,1357,Curie,295.25,False,4,"{'Cu': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1499,Cr2Te3,1499,Curie,180.0,False,1,"{'Cr': 2.0, 'Te': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1507,HgCr2S4,1507,Curie,22.0,False,2,"{'Hg': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1546,Cr14,1546,Curie,293.0,False,2,{'Cr': 14.0},True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1556,CrGeTe3,1556,Curie,35.0,False,1,"{'Cr': 1.0, 'Ge': 1.0, 'Te': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1718,Ba2CrMoO6,1718,Curie,337.5,False,6,"{'Ba': 2.0, 'Cr': 1.0, 'Mo': 1.0, 'O': 6.0}",True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1722,NiCr2O4,1722,Curie,143.3846153846154,False,13,"{'Ni': 1.0, 'Cr': 2.0, 'O': 4.0}",True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1734,CoCrFeO4,1734,Curie,661.0,False,2,"{'Co': 1.0, 'Cr': 1.0, 'Fe': 1.0, 'O': 4.0}",True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1762,Co2CrAl,1762,Curie,166.0,False,4,"{'Co': 2.0, 'Cr': 1.0, 'Al': 1.0}",True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1812,Cr,1812,Curie,315.7340425531915,False,94,{'Cr': 1.0},True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1857,Fe2CrGa,1857,Curie,353.0,False,1,"{'Fe': 2.0, 'Cr': 1.0, 'Ga': 1.0}",True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1883,FeCr2S4,1883,Curie,161.84615384615384,False,13,"{'Fe': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1961,PrCrSb3,1961,Curie,147.0,False,1,"{'Pr': 1.0, 'Cr': 1.0, 'Sb': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2001,TlCrS2,2001,Curie,97.5,False,2,"{'Tl': 1.0, 'Cr': 1.0, 'S': 2.0}",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2093,CrO2,2093,Curie,377.9130434782609,False,46,"{'Cr': 1.0, 'O': 2.0}",True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2139,CaCu3Cr2Sb2O12,2139,Curie,160.0,False,1,"{'Ca': 1.0, 'Cu': 3.0, 'Cr': 2.0, 'Sb': 2.0, 'O': 12.0}",True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2158,NdCrSb3,2158,Curie,142.0,False,1,"{'Nd': 1.0, 'Cr': 1.0, 'Sb': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2179,CoCr2S4,2179,Curie,240.0,False,1,"{'Co': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
