,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
8,RuSr2GdCu2O8,8,Curie,79.62068965517241,False,29,"{'Ru': 1.0, 'Sr': 2.0, 'Gd': 1.0, 'Cu': 2.0, 'O': 8.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
26,NiCu,26,Curie,338.0,False,1,"{'Ni': 1.0, 'Cu': 1.0}",True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
200,CeCuSi,200,Curie,15.0,False,3,"{'Ce': 1.0, 'Cu': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
212,NdCu4Pd,212,Curie,8.0,False,3,"{'Nd': 1.0, 'Cu': 4.0, 'Pd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
255,Tb2Cu2Cd,255,Curie,44.0,False,4,"{'Tb': 2.0, 'Cu': 2.0, 'Cd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
274,TbCu3Mn4O12,274,Curie,3.0,False,1,"{'Tb': 1.0, 'Cu': 3.0, 'Mn': 4.0, 'O': 12.0}",True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
355,Ce2CuSi3,355,Curie,300.0,False,3,"{'Ce': 2.0, 'Cu': 1.0, 'Si': 3.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
369,Cu2O,369,Curie,300.0,False,2,"{'Cu': 2.0, 'O': 1.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
372,Cu1,372,Curie,352.0,False,2,{'Cu': 1.0},True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
394,CuII,394,Curie,12.333333333333334,False,3,"{'Cu': 1.0, 'I': 2.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
428,Sr2CuO2Cl2,428,Curie,30.0,False,1,"{'Sr': 2.0, 'Cu': 1.0, 'O': 2.0, 'Cl': 2.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
477,SeCuO3,477,Curie,25.0,False,4,"{'Se': 1.0, 'Cu': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
494,Cu2,494,Curie,363.0,False,2,{'Cu': 2.0},True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
509,LaCuOSe,509,Curie,26.0,False,1,"{'La': 1.0, 'Cu': 1.0, 'O': 1.0, 'Se': 1.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
551,CuCr2Se4,551,Curie,425.25,False,8,"{'Cu': 1.0, 'Cr': 2.0, 'Se': 4.0}",True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
552,CeCu3Mn4O12,552,Curie,2.0,False,1,"{'Ce': 1.0, 'Cu': 3.0, 'Mn': 4.0, 'O': 12.0}",True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
559,NaCuO2,559,Curie,70.0,False,1,"{'Na': 1.0, 'Cu': 1.0, 'O': 2.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
583,TbNi4Cu,583,Curie,29.0,False,1,"{'Tb': 1.0, 'Ni': 4.0, 'Cu': 1.0}",True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
607,Dy2Cu2Cd,607,Curie,36.5,False,8,"{'Dy': 2.0, 'Cu': 2.0, 'Cd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
626,PrCu4Pd,626,Curie,1.0,False,3,"{'Pr': 1.0, 'Cu': 4.0, 'Pd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
640,CuCr2Te4,640,Curie,326.0,False,1,"{'Cu': 1.0, 'Cr': 2.0, 'Te': 4.0}",True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
691,Mn3Cu4Bi4,691,Curie,456.0,False,1,"{'Mn': 3.0, 'Cu': 4.0, 'Bi': 4.0}",True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
742,GdSr2RuCu2O8,742,Curie,24.0,False,1,"{'Gd': 1.0, 'Sr': 2.0, 'Ru': 1.0, 'Cu': 2.0, 'O': 8.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
755,Cu6,755,Curie,310.0,False,2,{'Cu': 6.0},True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
771,Mn3CuN,771,Curie,145.0,False,2,"{'Mn': 3.0, 'Cu': 1.0, 'N': 1.0}",True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
815,Er2Cu2Cd,815,Curie,36.0,False,2,"{'Er': 2.0, 'Cu': 2.0, 'Cd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
822,DyCu4Ag,822,Curie,19.0,False,3,"{'Dy': 1.0, 'Cu': 4.0, 'Ag': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
845,Cu2AlMn,845,Curie,630.0,False,1,"{'Cu': 2.0, 'Al': 1.0, 'Mn': 1.0}",True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
963,PrCu3Pd2,963,Curie,0.0,False,3,"{'Pr': 1.0, 'Cu': 3.0, 'Pd': 2.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
967,Al50Cu25Fe25,967,Curie,219.0,False,1,"{'Al': 50.0, 'Cu': 25.0, 'Fe': 25.0}",True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
985,Cu2MnSn,985,Curie,530.0,False,1,"{'Cu': 2.0, 'Mn': 1.0, 'Sn': 1.0}",True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1015,Bi2Sr2CuO6,1015,Curie,23.0,False,1,"{'Bi': 2.0, 'Sr': 2.0, 'Cu': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1028,NiCuMnSn,1028,Curie,366.0,False,1,"{'Ni': 1.0, 'Cu': 1.0, 'Mn': 1.0, 'Sn': 1.0}",True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1031,YbCuGe,1031,Curie,4.9,False,10,"{'Yb': 1.0, 'Cu': 1.0, 'Ge': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1046,Ho2Cu2Cd,1046,Curie,25.0,False,3,"{'Ho': 2.0, 'Cu': 2.0, 'Cd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
1069,GdCu4Pd,1069,Curie,102.0,False,3,"{'Gd': 1.0, 'Cu': 4.0, 'Pd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
