,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
127,ErFe2,127,Curie,580.0,False,1,"{'Er': 1.0, 'Fe': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
209,ErPdIn,209,Curie,25.0,False,2,"{'Er': 1.0, 'Pd': 1.0, 'In': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
395,Mn23Er6,395,Curie,415.0,False,2,"{'Mn': 23.0, 'Er': 6.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
464,Er2PdSi3,464,Curie,146.5,False,4,"{'Er': 2.0, 'Pd': 1.0, 'Si': 3.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
496,ErAl2,496,Curie,15.666666666666666,False,6,"{'Er': 1.0, 'Al': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
530,Er12Co7,530,Curie,13.0,False,1,"{'Er': 12.0, 'Co': 7.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
600,ErNi2,600,Curie,124.16666666666669,False,6,"{'Er': 1.0, 'Ni': 2.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
615,Er2Fe14B,615,Curie,548.0,False,1,"{'Er': 2.0, 'Fe': 14.0, 'B': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
815,Er2Cu2Cd,815,Curie,36.0,False,2,"{'Er': 2.0, 'Cu': 2.0, 'Cd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
968,ErZrSb,968,Curie,8.625,False,16,"{'Er': 1.0, 'Zr': 1.0, 'Sb': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1001,ErMn2,1001,Curie,15.0,False,2,"{'Er': 1.0, 'Mn': 2.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1016,ErNiAl2,1016,Curie,5.0,False,1,"{'Er': 1.0, 'Ni': 1.0, 'Al': 2.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1042,ErNiIn,1042,Curie,9.0,False,4,"{'Er': 1.0, 'Ni': 1.0, 'In': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1087,Er2Fe14Si3,1087,Curie,490.0,False,3,"{'Er': 2.0, 'Fe': 14.0, 'Si': 3.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1108,Ho3Er3MnBi2,1108,Curie,150.0,False,1,"{'Ho': 3.0, 'Er': 3.0, 'Mn': 1.0, 'Bi': 2.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
