,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
31,EuO,31,Curie,71.94444444444444,False,36,"{'Eu': 1.0, 'O': 1.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
342,EuN,342,Curie,120.0,False,1,"{'Eu': 1.0, 'N': 1.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
564,Eu2Pt3Si5,564,Curie,12.0,False,2,"{'Eu': 2.0, 'Pt': 3.0, 'Si': 5.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
931,EuAg4Ga,931,Curie,72.0,False,3,"{'Eu': 1.0, 'Ag': 4.0, 'Ga': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
947,LiEuP,947,Curie,21.0,False,1,"{'Li': 1.0, 'Eu': 1.0, 'P': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1017,EuSr,1017,Curie,155.0,False,2,"{'Eu': 1.0, 'Sr': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1272,EuFe2As2,1272,Curie,26.0,False,3,"{'Eu': 1.0, 'Fe': 2.0, 'As': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1414,LiEuBi,1414,Curie,7.0,False,1,"{'Li': 1.0, 'Eu': 1.0, 'Bi': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1428,EuB6,1428,Curie,13.4,False,5,"{'Eu': 1.0, 'B': 6.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1459,LiEuAs,1459,Curie,9.0,False,1,"{'Li': 1.0, 'Eu': 1.0, 'As': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1492,LiEuSb,1492,Curie,6.0,False,1,"{'Li': 1.0, 'Eu': 1.0, 'Sb': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1554,EuAuCd,1554,Curie,28.0,False,1,"{'Eu': 1.0, 'Au': 1.0, 'Cd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1671,EuAuGe,1671,Curie,31.428571428571427,False,7,"{'Eu': 1.0, 'Au': 1.0, 'Ge': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1913,EuAuZn,1913,Curie,51.0,False,1,"{'Eu': 1.0, 'Au': 1.0, 'Zn': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1963,EuGd2S4,1963,Curie,6.0,False,3,"{'Eu': 1.0, 'Gd': 2.0, 'S': 4.0}",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
1969,EuAgMg,1969,Curie,22.0,False,1,"{'Eu': 1.0, 'Ag': 1.0, 'Mg': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1971,Eu3O4,1971,Curie,6.2,False,5,"{'Eu': 3.0, 'O': 4.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2073,Eu,2073,Curie,119.84210526315788,False,19,{'Eu': 1.0},True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2106,EuS,2106,Curie,18.75,False,28,"{'Eu': 1.0, 'S': 1.0}",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2135,EuMg2,2135,Curie,30.0,False,1,"{'Eu': 1.0, 'Mg': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
