,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
6,Fe2NiGa,6,Curie,837.0,False,1,"{'Fe': 2.0, 'Ni': 1.0, 'Ga': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,NiFe1,7,Curie,359.0,False,2,"{'Ni': 1.0, 'Fe': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,CaFFeAs,17,Curie,36.0,False,1,"{'Ca': 1.0, 'F': 1.0, 'Fe': 1.0, 'As': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
32,MnFe4Si3,32,Curie,300.0,False,2,"{'Mn': 1.0, 'Fe': 4.0, 'Si': 3.0}",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39,YbFe2,39,Curie,542.0,False,1,"{'Yb': 1.0, 'Fe': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
52,FeSi,52,Curie,711.5,False,4,"{'Fe': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
55,Ce2Fe14B,55,Curie,422.3333333333333,False,3,"{'Ce': 2.0, 'Fe': 14.0, 'B': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
64,Ni2FeGa,64,Curie,335.0,False,3,"{'Ni': 2.0, 'Fe': 1.0, 'Ga': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
75,DyFeSi,75,Curie,70.0,False,3,"{'Dy': 1.0, 'Fe': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
82,FeNiPt2,82,Curie,400.0,False,1,"{'Fe': 1.0, 'Ni': 1.0, 'Pt': 2.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
91,NdOFeAs,91,Curie,53.0,False,1,"{'Nd': 1.0, 'O': 1.0, 'Fe': 1.0, 'As': 1.0}",True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
93,NaFeAs,93,Curie,23.4,False,5,"{'Na': 1.0, 'Fe': 1.0, 'As': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
109,PuFe2,109,Curie,564.0,False,1,"{'Pu': 1.0, 'Fe': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
125,Tb2Fe17,125,Curie,410.6666666666667,False,3,"{'Tb': 2.0, 'Fe': 17.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
127,ErFe2,127,Curie,580.0,False,1,"{'Er': 1.0, 'Fe': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
134,Ba2FeReO6,134,Curie,303.0,False,1,"{'Ba': 2.0, 'Fe': 1.0, 'Re': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
164,ZnCFe3,164,Curie,358.0,False,1,"{'Zn': 1.0, 'C': 1.0, 'Fe': 3.0}",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
169,NiFe3,169,Curie,328.0,False,2,"{'Ni': 1.0, 'Fe': 3.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
178,FeTiSi,178,Curie,728.0,False,1,"{'Fe': 1.0, 'Ti': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
213,BaFe12O19,213,Curie,738.0,False,18,"{'Ba': 1.0, 'Fe': 12.0, 'O': 19.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
225,Ni3Fe,225,Curie,843.0,False,1,"{'Ni': 3.0, 'Fe': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
231,Ho2Fe14B,231,Curie,568.0,False,1,"{'Ho': 2.0, 'Fe': 14.0, 'B': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
234,BaFeO3,234,Curie,250.0,False,1,"{'Ba': 1.0, 'Fe': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
242,Tb6FeSb2,242,Curie,86.33333333333333,False,3,"{'Tb': 6.0, 'Fe': 1.0, 'Sb': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
267,GaFeO3,267,Curie,233.41666666666663,False,12,"{'Ga': 1.0, 'Fe': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
269,Bi3Fe5O12,269,Curie,643.0,False,2,"{'Bi': 3.0, 'Fe': 5.0, 'O': 12.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
270,FeB,270,Curie,809.0,False,2,"{'Fe': 1.0, 'B': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
278,SrFe2As2,278,Curie,30.5,False,2,"{'Sr': 1.0, 'Fe': 2.0, 'As': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
296,Co2FeO4,296,Curie,456.5,False,2,"{'Co': 2.0, 'Fe': 1.0, 'O': 4.0}",True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
300,FePd,300,Curie,789.6666666666666,False,3,"{'Fe': 1.0, 'Pd': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
306,Fe3Ge,306,Curie,622.7272727272727,False,11,"{'Fe': 3.0, 'Ge': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
322,YMnFe,322,Curie,209.0,False,4,"{'Y': 1.0, 'Mn': 1.0, 'Fe': 1.0}",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
333,CoFe2O4,333,Curie,698.304347826087,False,46,"{'Co': 1.0, 'Fe': 2.0, 'O': 4.0}",True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
343,HoFe11Ti,343,Curie,534.6666666666666,False,6,"{'Ho': 1.0, 'Fe': 11.0, 'Ti': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
351,MnFeAs,351,Curie,206.0,False,1,"{'Mn': 1.0, 'Fe': 1.0, 'As': 1.0}",True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
353,ZrFe2,353,Curie,586.0,False,1,"{'Zr': 1.0, 'Fe': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
377,Fe50Ag50,377,Curie,200.0,False,1,"{'Fe': 50.0, 'Ag': 50.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
379,SmFe5,379,Curie,890.0,False,1,"{'Sm': 1.0, 'Fe': 5.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
400,Sr3FeMoO7,400,Curie,683.0,False,2,"{'Sr': 3.0, 'Fe': 1.0, 'Mo': 1.0, 'O': 7.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
401,LiFeAs,401,Curie,17.333333333333332,False,3,"{'Li': 1.0, 'Fe': 1.0, 'As': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
432,FeCr2Se4,432,Curie,302.5,False,6,"{'Fe': 1.0, 'Cr': 2.0, 'Se': 4.0}",True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
486,Dy2Fe17,486,Curie,366.6666666666667,False,6,"{'Dy': 2.0, 'Fe': 17.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
492,Fe2OBO3,492,Curie,155.0,False,1,"{'Fe': 2.0, 'O': 4.0, 'B': 1.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
493,Ho6Fe23,493,Curie,510.0,False,1,"{'Ho': 6.0, 'Fe': 23.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
504,Fe3Pt,504,Curie,504.0,False,1,"{'Fe': 3.0, 'Pt': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
513,Nd2Fe16Ti,513,Curie,390.0,False,1,"{'Nd': 2.0, 'Fe': 16.0, 'Ti': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
524,SmOFeAs,524,Curie,54.0,False,1,"{'Sm': 1.0, 'O': 1.0, 'Fe': 1.0, 'As': 1.0}",True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
531,Ho2Fe17C,531,Curie,501.0,False,2,"{'Ho': 2.0, 'Fe': 17.0, 'C': 1.0}",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
553,SrFFeAs,553,Curie,36.0,False,1,"{'Sr': 1.0, 'F': 1.0, 'Fe': 1.0, 'As': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
575,FeV2S4,575,Curie,134.0,False,1,"{'Fe': 1.0, 'V': 2.0, 'S': 4.0}",True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
585,Gd3Fe5O12,585,Curie,564.0,False,1,"{'Gd': 3.0, 'Fe': 5.0, 'O': 12.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
590,Ca2FeReO6,590,Curie,537.75,False,8,"{'Ca': 2.0, 'Fe': 1.0, 'Re': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
595,Mn7Fe14O28,595,Curie,275.0,False,1,"{'Mn': 7.0, 'Fe': 14.0, 'O': 28.0}",True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
598,FeFe,598,Curie,560.0,False,2,{'Fe': 2.0},True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
602,Fe2,602,Curie,300.0,False,1,{'Fe': 2.0},True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
608,Fe3C,608,Curie,534.0,False,16,"{'Fe': 3.0, 'C': 1.0}",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
615,Er2Fe14B,615,Curie,548.0,False,1,"{'Er': 2.0, 'Fe': 14.0, 'B': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
643,Nd2Fe14B,643,Curie,585.7272727272727,False,11,"{'Nd': 2.0, 'Fe': 14.0, 'B': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
671,Fe3O4,671,Curie,807.9625,False,80,"{'Fe': 3.0, 'O': 4.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
676,TbFe2,676,Curie,657.6666666666666,False,6,"{'Tb': 1.0, 'Fe': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
