,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
59,LaIr2Ge2,59,Curie,1.0,False,1,"{'La': 1.0, 'Ir': 2.0, 'Ge': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
71,LaRu2P2,71,Curie,4.857142857142857,False,7,"{'La': 1.0, 'Ru': 2.0, 'P': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
83,La2CoMnO6,83,Curie,200.0833333333333,False,12,"{'La': 2.0, 'Co': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
88,LaNiPO,88,Curie,4.0,False,1,"{'La': 1.0, 'Ni': 1.0, 'P': 1.0, 'O': 1.0}",True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
110,LaCo5H4,110,Curie,300.0,False,2,"{'La': 1.0, 'Co': 5.0, 'H': 4.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
126,La5Mo4O16,126,Curie,100.0,False,1,"{'La': 5.0, 'Mo': 4.0, 'O': 16.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
156,LaCo12B6,156,Curie,155.0,False,2,"{'La': 1.0, 'Co': 12.0, 'B': 6.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
162,LaSrMnCoO6,162,Curie,225.0,False,2,"{'La': 1.0, 'Sr': 1.0, 'Mn': 1.0, 'Co': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
199,La3Al,199,Curie,6.0,False,1,"{'La': 3.0, 'Al': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
224,La2C2Br2,224,Curie,7.0,False,2,"{'La': 2.0, 'C': 2.0, 'Br': 2.0}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
268,La7Os4C9,268,Curie,7.0,False,1,"{'La': 7.0, 'Os': 4.0, 'C': 9.0}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
285,LaCrSb3,285,Curie,117.33333333333331,False,6,"{'La': 1.0, 'Cr': 1.0, 'Sb': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
304,La3Co2TaO9,304,Curie,72.0,False,1,"{'La': 3.0, 'Co': 2.0, 'Ta': 1.0, 'O': 9.0}",True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
307,La2MnNiO6,307,Curie,254.0,False,5,"{'La': 2.0, 'Mn': 1.0, 'Ni': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
316,LaNi5,316,Curie,570.0,False,1,"{'La': 1.0, 'Ni': 5.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
352,LaRu3Si2,352,Curie,5.0,False,4,"{'La': 1.0, 'Ru': 3.0, 'Si': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
396,La2NiMnO6,396,Curie,272.05263157894734,False,19,"{'La': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
411,LaSi5,411,Curie,7.5,False,4,"{'La': 1.0, 'Si': 5.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
509,LaCuOSe,509,Curie,26.0,False,1,"{'La': 1.0, 'Cu': 1.0, 'O': 1.0, 'Se': 1.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
622,LaMnSi2,622,Curie,382.6666666666667,False,3,"{'La': 1.0, 'Mn': 1.0, 'Si': 2.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
623,LaRu4P12,623,Curie,7.0,False,1,"{'La': 1.0, 'Ru': 4.0, 'P': 12.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
631,La2ZnTiO6,631,Curie,350.0,False,2,"{'La': 2.0, 'Zn': 1.0, 'Ti': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
677,LaPtSi,677,Curie,3.0,False,1,"{'La': 1.0, 'Pt': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
679,LaCo5,679,Curie,799.0,False,3,"{'La': 1.0, 'Co': 5.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
732,La326,732,Curie,60.0,False,1,{'La': 326.0},True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
734,LaSrMn2O5,734,Curie,365.0,False,1,"{'La': 1.0, 'Sr': 1.0, 'Mn': 2.0, 'O': 5.0}",True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
744,La5Si3N9,744,Curie,3.0,False,2,"{'La': 5.0, 'Si': 3.0, 'N': 9.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
785,LaGe2,785,Curie,1.0,False,1,"{'La': 1.0, 'Ge': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
800,LaAl2,800,Curie,2.0,False,2,"{'La': 1.0, 'Al': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
834,LaCo2,834,Curie,715.0,False,1,"{'La': 1.0, 'Co': 2.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
843,LaCoO3,843,Curie,162.4,False,5,"{'La': 1.0, 'Co': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
