,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
19,Dy2NiMnO6,19,Curie,93.0,False,1,"{'Dy': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
30,MnCr2O4,30,Curie,40.8,False,5,"{'Mn': 1.0, 'Cr': 2.0, 'O': 4.0}",True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
32,MnFe4Si3,32,Curie,300.0,False,2,"{'Mn': 1.0, 'Fe': 4.0, 'Si': 3.0}",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
79,MnV2O4,79,Curie,57.0,False,2,"{'Mn': 1.0, 'V': 2.0, 'O': 4.0}",True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
83,La2CoMnO6,83,Curie,200.0833333333333,False,12,"{'La': 2.0, 'Co': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
106,MnSi,106,Curie,30.3,False,20,"{'Mn': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
122,Ti8Mn3Ru18B8,122,Curie,120.0,False,1,"{'Ti': 8.0, 'Mn': 3.0, 'Ru': 18.0, 'B': 8.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
123,NiMnCoSn,123,Curie,321.0,False,1,"{'Ni': 1.0, 'Mn': 1.0, 'Co': 1.0, 'Sn': 1.0}",True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
149,Mn23Lu6,149,Curie,378.0,False,2,"{'Mn': 23.0, 'Lu': 6.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
152,Co2MnSn,152,Curie,656.2,False,5,"{'Co': 2.0, 'Mn': 1.0, 'Sn': 1.0}",True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
162,LaSrMnCoO6,162,Curie,225.0,False,2,"{'La': 1.0, 'Sr': 1.0, 'Mn': 1.0, 'Co': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
163,HoMn6Sn6,163,Curie,376.0,False,1,"{'Ho': 1.0, 'Mn': 6.0, 'Sn': 6.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
170,Ni50Mn25Sn25,170,Curie,350.0,False,2,"{'Ni': 50.0, 'Mn': 25.0, 'Sn': 25.0}",True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
175,Mn51,175,Curie,140.0,False,1,{'Mn': 51.0},True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
194,Mn2TiO4,194,Curie,78.0,False,2,"{'Mn': 2.0, 'Ti': 1.0, 'O': 4.0}",True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
198,TbMn6Sn6,198,Curie,423.0,False,2,"{'Tb': 1.0, 'Mn': 6.0, 'Sn': 6.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
211,Li7Mn14O28,211,Curie,276.0,False,1,"{'Li': 7.0, 'Mn': 14.0, 'O': 28.0}",True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
215,MnGeAs2,215,Curie,340.0,False,1,"{'Mn': 1.0, 'Ge': 1.0, 'As': 2.0}",True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
228,SrMnO3,228,Curie,260.0,False,2,"{'Sr': 1.0, 'Mn': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
229,Mn1,229,Curie,345.0,False,1,{'Mn': 1.0},True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
238,Mn2MnReO6,238,Curie,520.0,False,1,"{'Mn': 3.0, 'Re': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
240,GdMn2Ge2,240,Curie,468.5,False,2,"{'Gd': 1.0, 'Mn': 2.0, 'Ge': 2.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
260,Y2CoMnO6,260,Curie,66.75,False,8,"{'Y': 2.0, 'Co': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
265,SnMn2O4,265,Curie,46.0,False,1,"{'Sn': 1.0, 'Mn': 2.0, 'O': 4.0}",True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
274,TbCu3Mn4O12,274,Curie,3.0,False,1,"{'Tb': 1.0, 'Cu': 3.0, 'Mn': 4.0, 'O': 12.0}",True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
283,Mn3GaC,283,Curie,203.0,False,2,"{'Mn': 3.0, 'Ga': 1.0, 'C': 1.0}",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
297,Pd2MnGa,297,Curie,206.0,False,1,"{'Pd': 2.0, 'Mn': 1.0, 'Ga': 1.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
307,La2MnNiO6,307,Curie,254.0,False,5,"{'La': 2.0, 'Mn': 1.0, 'Ni': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
310,Mn4Si7,310,Curie,40.0,False,2,"{'Mn': 4.0, 'Si': 7.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
312,MnAlGe,312,Curie,519.0,False,2,"{'Mn': 1.0, 'Al': 1.0, 'Ge': 1.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
314,PbMnBO4,314,Curie,31.0,False,1,"{'Pb': 1.0, 'Mn': 1.0, 'B': 1.0, 'O': 4.0}",True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
322,YMnFe,322,Curie,209.0,False,4,"{'Y': 1.0, 'Mn': 1.0, 'Fe': 1.0}",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
330,Tb2MnNiO6,330,Curie,111.0,False,1,"{'Tb': 2.0, 'Mn': 1.0, 'Ni': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
346,BiMn,346,Curie,554.3333333333334,False,3,"{'Bi': 1.0, 'Mn': 1.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
351,MnFeAs,351,Curie,206.0,False,1,"{'Mn': 1.0, 'Fe': 1.0, 'As': 1.0}",True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
367,Mn23Tb6,367,Curie,455.0,False,1,"{'Mn': 23.0, 'Tb': 6.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
380,MnCr,380,Curie,170.0,False,2,"{'Mn': 1.0, 'Cr': 1.0}",True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
386,GaMnNi2,386,Curie,370.0,False,1,"{'Ga': 1.0, 'Mn': 1.0, 'Ni': 2.0}",True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
395,Mn23Er6,395,Curie,415.0,False,2,"{'Mn': 23.0, 'Er': 6.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
396,La2NiMnO6,396,Curie,272.05263157894734,False,19,"{'La': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
403,MnCoVGa,403,Curie,171.0,False,1,"{'Mn': 1.0, 'Co': 1.0, 'V': 1.0, 'Ga': 1.0}",True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
407,MnAs,407,Curie,312.4634146341463,False,41,"{'Mn': 1.0, 'As': 1.0}",True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
422,MnV,422,Curie,60.0,False,2,"{'Mn': 1.0, 'V': 1.0}",True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
426,Ge3Mn5,426,Curie,304.0,False,3,"{'Ge': 3.0, 'Mn': 5.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
