,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
34,Nb4N5,34,Curie,8.0,False,1,"{'Nb': 4.0, 'N': 5.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
174,Mo2N,174,Curie,12.0,False,1,"{'Mo': 2.0, 'N': 1.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
185,TiN,185,Curie,4.0,False,2,"{'Ti': 1.0, 'N': 1.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
289,TbN,289,Curie,47.333333333333336,False,3,"{'Tb': 1.0, 'N': 1.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
342,EuN,342,Curie,120.0,False,1,"{'Eu': 1.0, 'N': 1.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
487,TiNCl,487,Curie,4.0,False,2,"{'Ti': 1.0, 'N': 1.0, 'Cl': 1.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
506,HoN,506,Curie,16.0,False,2,"{'Ho': 1.0, 'N': 1.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
744,La5Si3N9,744,Curie,3.0,False,2,"{'La': 5.0, 'Si': 3.0, 'N': 9.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
771,Mn3CuN,771,Curie,145.0,False,2,"{'Mn': 3.0, 'Cu': 1.0, 'N': 1.0}",True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
937,ZrN,937,Curie,10.0,False,1,"{'Zr': 1.0, 'N': 1.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
