,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
5,NdVO3,5,Curie,138.0,False,1,"{'Nd': 1.0, 'V': 1.0, 'O': 3.0}",True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
91,NdOFeAs,91,Curie,53.0,False,1,"{'Nd': 1.0, 'O': 1.0, 'Fe': 1.0, 'As': 1.0}",True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
112,Nd2Pd2Cd,112,Curie,23.0,False,2,"{'Nd': 2.0, 'Pd': 2.0, 'Cd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
135,Nd2Co2I,135,Curie,59.0,False,1,"{'Nd': 2.0, 'Co': 2.0, 'I': 1.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
210,K2NdNb5O15,210,Curie,442.0,False,2,"{'K': 2.0, 'Nd': 1.0, 'Nb': 5.0, 'O': 15.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
212,NdCu4Pd,212,Curie,8.0,False,3,"{'Nd': 1.0, 'Cu': 4.0, 'Pd': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
414,NdCo3,414,Curie,395.0,False,1,"{'Nd': 1.0, 'Co': 3.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
444,NdScGe,444,Curie,194.0,False,1,"{'Nd': 1.0, 'Sc': 1.0, 'Ge': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
483,NdNi5,483,Curie,7.5,False,2,"{'Nd': 1.0, 'Ni': 5.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
513,Nd2Fe16Ti,513,Curie,390.0,False,1,"{'Nd': 2.0, 'Fe': 16.0, 'Ti': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
558,NdMn2Ge2,558,Curie,294.5,False,10,"{'Nd': 1.0, 'Mn': 2.0, 'Ge': 2.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
593,NdBaCo2O6,593,Curie,200.0,False,2,"{'Nd': 1.0, 'Ba': 1.0, 'Co': 2.0, 'O': 6.0}",True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
596,Nd15Ge9C,596,Curie,80.0,False,1,"{'Nd': 15.0, 'Ge': 9.0, 'C': 1.0}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
643,Nd2Fe14B,643,Curie,585.7272727272727,False,11,"{'Nd': 2.0, 'Fe': 14.0, 'B': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
665,NdCo2B2,665,Curie,27.0,False,1,"{'Nd': 1.0, 'Co': 2.0, 'B': 2.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
719,Nd2NiGe3,719,Curie,2.0,False,2,"{'Nd': 2.0, 'Ni': 1.0, 'Ge': 3.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
749,NdCo4Ga,749,Curie,410.0,False,1,"{'Nd': 1.0, 'Co': 4.0, 'Ga': 1.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
801,Nd2NiMnO6,801,Curie,204.875,False,8,"{'Nd': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
978,Nd2Fe14C,978,Curie,323.0,False,1,"{'Nd': 2.0, 'Fe': 14.0, 'C': 1.0}",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
992,NdCrGe3,992,Curie,68.0,False,4,"{'Nd': 1.0, 'Cr': 1.0, 'Ge': 3.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
999,NdVO4,999,Curie,113.0,False,2,"{'Nd': 1.0, 'V': 1.0, 'O': 4.0}",True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1065,Nd3Co29Si4B10,1065,Curie,81.0,False,4,"{'Nd': 3.0, 'Co': 29.0, 'Si': 4.0, 'B': 10.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1066,Nd3Co13B2,1066,Curie,621.0,False,3,"{'Nd': 3.0, 'Co': 13.0, 'B': 2.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1115,Nd2Fe17,1115,Curie,304.72727272727275,False,11,"{'Nd': 2.0, 'Fe': 17.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1116,NdCo2,1116,Curie,98.0,False,1,"{'Nd': 1.0, 'Co': 2.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1202,NdSi,1202,Curie,46.0,False,1,"{'Nd': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1356,Nd2O3,1356,Curie,313.75,False,4,"{'Nd': 2.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1393,Nd2CuO4,1393,Curie,82.25,False,4,"{'Nd': 2.0, 'Cu': 1.0, 'O': 4.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1522,Nd2Fe17C,1522,Curie,454.0,False,2,"{'Nd': 2.0, 'Fe': 17.0, 'C': 1.0}",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1549,Nd2Fe15Ga2,1549,Curie,554.0,False,1,"{'Nd': 2.0, 'Fe': 15.0, 'Ga': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1576,NdFe4P12,1576,Curie,1.0,False,1,"{'Nd': 1.0, 'Fe': 4.0, 'P': 12.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1666,NdAuSn,1666,Curie,12.0,False,15,"{'Nd': 1.0, 'Au': 1.0, 'Sn': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1681,NdCu3Pd2,1681,Curie,4.0,False,3,"{'Nd': 1.0, 'Cu': 3.0, 'Pd': 2.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1683,Nd2Fe23B3,1683,Curie,629.6666666666666,False,3,"{'Nd': 2.0, 'Fe': 23.0, 'B': 3.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1763,Nd3CoGe2,1763,Curie,3.0,False,1,"{'Nd': 3.0, 'Co': 1.0, 'Ge': 2.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1882,NdNi4B,1882,Curie,11.25,False,4,"{'Nd': 1.0, 'Ni': 4.0, 'B': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
