,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
6,Fe2NiGa,6,Curie,837.0,False,1,"{'Fe': 2.0, 'Ni': 1.0, 'Ga': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,NiFe1,7,Curie,359.0,False,2,"{'Ni': 1.0, 'Fe': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,Gd2NiSi3,15,Curie,16.0,False,1,"{'Gd': 2.0, 'Ni': 1.0, 'Si': 3.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
19,Dy2NiMnO6,19,Curie,93.0,False,1,"{'Dy': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
26,NiCu,26,Curie,338.0,False,1,"{'Ni': 1.0, 'Cu': 1.0}",True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
64,Ni2FeGa,64,Curie,335.0,False,3,"{'Ni': 2.0, 'Fe': 1.0, 'Ga': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
66,Ni3Si,66,Curie,216.5,False,2,"{'Ni': 3.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
82,FeNiPt2,82,Curie,400.0,False,1,"{'Fe': 1.0, 'Ni': 1.0, 'Pt': 2.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
88,LaNiPO,88,Curie,4.0,False,1,"{'La': 1.0, 'Ni': 1.0, 'P': 1.0, 'O': 1.0}",True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
100,Rh2NiGe,100,Curie,112.5,False,4,"{'Rh': 2.0, 'Ni': 1.0, 'Ge': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
123,NiMnCoSn,123,Curie,321.0,False,1,"{'Ni': 1.0, 'Mn': 1.0, 'Co': 1.0, 'Sn': 1.0}",True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
137,UNiGa,137,Curie,36.125,False,8,"{'U': 1.0, 'Ni': 1.0, 'Ga': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
139,Ni10,139,Curie,265.0,False,2,{'Ni': 10.0},True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
169,NiFe3,169,Curie,328.0,False,2,"{'Ni': 1.0, 'Fe': 3.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
170,Ni50Mn25Sn25,170,Curie,350.0,False,2,"{'Ni': 50.0, 'Mn': 25.0, 'Sn': 25.0}",True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
181,GdNi4Al,181,Curie,28.0,False,1,"{'Gd': 1.0, 'Ni': 4.0, 'Al': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
183,NiRe2O6,183,Curie,24.0,False,1,"{'Ni': 1.0, 'Re': 2.0, 'O': 6.0}",True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
202,PrNi5,202,Curie,14.0,False,1,"{'Pr': 1.0, 'Ni': 5.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
225,Ni3Fe,225,Curie,843.0,False,1,"{'Ni': 3.0, 'Fe': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
237,ZrNi5,237,Curie,647.0,False,2,"{'Zr': 1.0, 'Ni': 5.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
279,DyNi2,279,Curie,21.764705882352946,False,17,"{'Dy': 1.0, 'Ni': 2.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
307,La2MnNiO6,307,Curie,254.0,False,5,"{'La': 2.0, 'Mn': 1.0, 'Ni': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
315,TbNi4Si,315,Curie,29.8,False,5,"{'Tb': 1.0, 'Ni': 4.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
316,LaNi5,316,Curie,570.0,False,1,"{'La': 1.0, 'Ni': 5.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
321,GdNi4Mg,321,Curie,52.0,False,5,"{'Gd': 1.0, 'Ni': 4.0, 'Mg': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
330,Tb2MnNiO6,330,Curie,111.0,False,1,"{'Tb': 2.0, 'Mn': 1.0, 'Ni': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
339,Gd4Ni2BiSi2,339,Curie,46.0,False,1,"{'Gd': 4.0, 'Ni': 2.0, 'Bi': 1.0, 'Si': 2.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
340,Ho2Ni17,340,Curie,386.5,False,4,"{'Ho': 2.0, 'Ni': 17.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
386,GaMnNi2,386,Curie,370.0,False,1,"{'Ga': 1.0, 'Mn': 1.0, 'Ni': 2.0}",True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
396,La2NiMnO6,396,Curie,272.05263157894734,False,19,"{'La': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
408,Ni2,408,Curie,3.0,False,1,{'Ni': 2.0},True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
429,Mn2NiSb,429,Curie,647.0,False,1,"{'Mn': 2.0, 'Ni': 1.0, 'Sb': 1.0}",True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
450,Ni2MnSb,450,Curie,350.0,False,3,"{'Ni': 2.0, 'Mn': 1.0, 'Sb': 1.0}",True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
480,DyNi5,480,Curie,11.0,False,2,"{'Dy': 1.0, 'Ni': 5.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
483,NdNi5,483,Curie,7.5,False,2,"{'Nd': 1.0, 'Ni': 5.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
491,DyNiIn,491,Curie,30.0,False,3,"{'Dy': 1.0, 'Ni': 1.0, 'In': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
507,Y2NiMnO6,507,Curie,81.33333333333333,False,3,"{'Y': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
554,Th2Ni17,554,Curie,470.0,False,1,"{'Th': 2.0, 'Ni': 17.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
566,Ni2In,566,Curie,159.0,False,1,"{'Ni': 2.0, 'In': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
572,Sm2NiMnO6,572,Curie,138.33333333333334,False,6,"{'Sm': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
583,TbNi4Cu,583,Curie,29.0,False,1,"{'Tb': 1.0, 'Ni': 4.0, 'Cu': 1.0}",True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
591,YbNi2,591,Curie,10.0,False,3,"{'Yb': 1.0, 'Ni': 2.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
600,ErNi2,600,Curie,124.16666666666669,False,6,"{'Er': 1.0, 'Ni': 2.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
611,NiBi3,611,Curie,4.0,False,2,"{'Ni': 1.0, 'Bi': 3.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
674,SrNi2P2,674,Curie,0.5,False,2,"{'Sr': 1.0, 'Ni': 2.0, 'P': 2.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
680,Bi2NiMnO6,680,Curie,140.0,False,5,"{'Bi': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
695,GdNi2,695,Curie,77.5,False,4,"{'Gd': 1.0, 'Ni': 2.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
719,Nd2NiGe3,719,Curie,2.0,False,2,"{'Nd': 2.0, 'Ni': 1.0, 'Ge': 3.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
730,NiH,730,Curie,10.0,False,2,"{'Ni': 1.0, 'H': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
750,Al2GdNi,750,Curie,39.0,False,2,"{'Al': 2.0, 'Gd': 1.0, 'Ni': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
753,HoNi5,753,Curie,13.0,False,8,"{'Ho': 1.0, 'Ni': 5.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
773,Ni50Mn25Ga25,773,Curie,237.3333333333333,False,3,"{'Ni': 50.0, 'Mn': 25.0, 'Ga': 25.0}",True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
780,Gd2NiMnO6,780,Curie,128.0,False,1,"{'Gd': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
793,NiCrSi,793,Curie,648.3333333333334,False,3,"{'Ni': 1.0, 'Cr': 1.0, 'Si': 1.0}",True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
794,YbNiSn,794,Curie,5.0,False,1,"{'Yb': 1.0, 'Ni': 1.0, 'Sn': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
798,SmNi2Cd20,798,Curie,7.0,False,1,"{'Sm': 1.0, 'Ni': 2.0, 'Cd': 20.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
801,Nd2NiMnO6,801,Curie,204.875,False,8,"{'Nd': 2.0, 'Ni': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
802,HoNi2B2C,802,Curie,6.285714285714286,False,7,"{'Ho': 1.0, 'Ni': 2.0, 'B': 2.0, 'C': 1.0}",True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
829,TbNi4Fe,829,Curie,280.0,False,3,"{'Tb': 1.0, 'Ni': 4.0, 'Fe': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
