,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
575,FeV2S4,575,Curie,134.0,False,1,"{'Fe': 1.0, 'V': 2.0, 'S': 4.0}",True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
659,SbSBr,659,Curie,22.0,False,1,"{'Sb': 1.0, 'S': 1.0, 'Br': 1.0}",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
907,Co9S8,907,Curie,120.0,False,1,"{'Co': 9.0, 'S': 8.0}",True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
952,SbSI,952,Curie,292.75,False,8,"{'Sb': 1.0, 'S': 1.0, 'I': 1.0}",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1009,Co3Sn2S2,1009,Curie,175.0,False,2,"{'Co': 3.0, 'Sn': 2.0, 'S': 2.0}",True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1012,MnCr2S4,1012,Curie,65.5,False,4,"{'Mn': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1156,MoS2,1156,Curie,516.75,False,4,"{'Mo': 1.0, 'S': 2.0}",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1159,CdCr2S4,1159,Curie,84.375,False,8,"{'Cd': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1312,PdS,1312,Curie,6.0,False,1,"{'Pd': 1.0, 'S': 1.0}",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1357,CuCr2S4,1357,Curie,295.25,False,4,"{'Cu': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1507,HgCr2S4,1507,Curie,22.0,False,2,"{'Hg': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1625,TlInS2,1625,Curie,113.0,False,4,"{'Tl': 1.0, 'In': 1.0, 'S': 2.0}",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1726,Fe3S4,1726,Curie,476.0,False,4,"{'Fe': 3.0, 'S': 4.0}",True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1819,UAsS,1819,Curie,124.0,False,1,"{'U': 1.0, 'As': 1.0, 'S': 1.0}",True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1846,CoS2,1846,Curie,118.85714285714286,False,7,"{'Co': 1.0, 'S': 2.0}",True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1883,FeCr2S4,1883,Curie,161.84615384615384,False,13,"{'Fe': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1898,CuFe2S3,1898,Curie,588.0,False,1,"{'Cu': 1.0, 'Fe': 2.0, 'S': 3.0}",True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1963,EuGd2S4,1963,Curie,6.0,False,3,"{'Eu': 1.0, 'Gd': 2.0, 'S': 4.0}",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
1975,ZnS,1975,Curie,437.0,False,6,"{'Zn': 1.0, 'S': 1.0}",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2001,TlCrS2,2001,Curie,97.5,False,2,"{'Tl': 1.0, 'Cr': 1.0, 'S': 2.0}",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2106,EuS,2106,Curie,18.75,False,28,"{'Eu': 1.0, 'S': 1.0}",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2179,CoCr2S4,2179,Curie,240.0,False,1,"{'Co': 1.0, 'Cr': 2.0, 'S': 4.0}",True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
