,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
222,HgCr2Se4,222,Curie,106.66666666666669,False,6,"{'Hg': 1.0, 'Cr': 2.0, 'Se': 4.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
239,Se,239,Curie,261.45454545454544,False,11,{'Se': 1.0},True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
381,TlCrSe2,381,Curie,90.0,False,1,"{'Tl': 1.0, 'Cr': 1.0, 'Se': 2.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
432,FeCr2Se4,432,Curie,302.5,False,6,"{'Fe': 1.0, 'Cr': 2.0, 'Se': 4.0}",True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
477,SeCuO3,477,Curie,25.0,False,4,"{'Se': 1.0, 'Cu': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
509,LaCuOSe,509,Curie,26.0,False,1,"{'La': 1.0, 'Cu': 1.0, 'O': 1.0, 'Se': 1.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
551,CuCr2Se4,551,Curie,425.25,False,8,"{'Cu': 1.0, 'Cr': 2.0, 'Se': 4.0}",True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
806,MoSe2,806,Curie,700.0,False,1,"{'Mo': 1.0, 'Se': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1080,CdCr2Se4,1080,Curie,120.75,False,24,"{'Cd': 1.0, 'Cr': 2.0, 'Se': 4.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1130,LaOBiSe2,1130,Curie,5.5,False,2,"{'La': 1.0, 'O': 1.0, 'Bi': 1.0, 'Se': 2.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1134,TlGaSe2,1134,Curie,111.8,False,5,"{'Tl': 1.0, 'Ga': 1.0, 'Se': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1244,FeSe,1244,Curie,100.66666666666669,False,18,"{'Fe': 1.0, 'Se': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1267,ZnSe,1267,Curie,44.66666666666666,False,3,"{'Zn': 1.0, 'Se': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1526,CuSeO3,1526,Curie,26.0,False,2,"{'Cu': 1.0, 'Se': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1589,NbSe2,1589,Curie,7.0,False,1,"{'Nb': 1.0, 'Se': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1765,TmSe,1765,Curie,14.0,False,1,"{'Tm': 1.0, 'Se': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1795,CoSe2,1795,Curie,124.0,False,2,"{'Co': 1.0, 'Se': 2.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1831,TiSe,1831,Curie,97.0,False,2,"{'Ti': 1.0, 'Se': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2039,MnMo6Se8,2039,Curie,28.0,False,1,"{'Mn': 1.0, 'Mo': 6.0, 'Se': 8.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2088,YbSe,2088,Curie,18.0,False,1,"{'Yb': 1.0, 'Se': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2104,UAsSe,2104,Curie,113.0,False,1,"{'U': 1.0, 'As': 1.0, 'Se': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
