,name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags,mp_flags
208,TmVO4,208,Curie,2.0,False,1,"{'Tm': 1.0, 'V': 1.0, 'O': 4.0}",True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
248,TmCo4Al,248,Curie,511.0,False,1,"{'Tm': 1.0, 'Co': 4.0, 'Al': 1.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
587,Tm3Co29Si4B10,587,Curie,176.0,False,1,"{'Tm': 3.0, 'Co': 29.0, 'Si': 4.0, 'B': 10.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
737,TmAl2,737,Curie,6.0,False,1,"{'Tm': 1.0, 'Al': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
986,TmZnAl,986,Curie,2.0,False,1,"{'Tm': 1.0, 'Zn': 1.0, 'Al': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1059,TmAsO4,1059,Curie,6.0,False,1,"{'Tm': 1.0, 'As': 1.0, 'O': 4.0}",True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1605,TmGa,1605,Curie,15.0,False,2,"{'Tm': 1.0, 'Ga': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1624,TmZrSb,1624,Curie,3.0,False,10,"{'Tm': 1.0, 'Zr': 1.0, 'Sb': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1765,TmSe,1765,Curie,14.0,False,1,"{'Tm': 1.0, 'Se': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1868,TmZn,1868,Curie,58.75,False,4,"{'Tm': 1.0, 'Zn': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2043,Tm2Cu2In,2043,Curie,39.0,False,1,"{'Tm': 2.0, 'Cu': 2.0, 'In': 1.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2087,TmCoAl,2087,Curie,6.0,False,1,"{'Tm': 1.0, 'Co': 1.0, 'Al': 1.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
