,,type,temperature,flag,ref_num
GdFe11TiH,0,Curie,661.0,False,1
NaNO2,1,Curie,436.6923076923077,False,26
Y3Al5,2,Curie,559.0,False,1
NdTbFe9Al8,3,Curie,234.0,False,1
CoFeCrO4,4,Néel,313.4,False,5
GdPd3S4,5,Néel,5.0,False,3
Holocene,6,Curie,811.75,False,8
Ar72Nd,7,Curie,1.0,False,1
TbCu2Si2,8,Néel,11.5,False,4
CaBi2Nb2O9,9,Curie,1168.6666666666667,False,9
本文介绍了在三元化合物LaRu2As2中发现的超导现象,10,Curie,3.6666666666666665,False,3
La3Mn4Sn4,11,Néel,230.0,False,3
CoZn,12,Curie,434.0,False,2
Sm2Mn3Sb4S12,13,Néel,25.0,False,2
Ni35Mn50In15,14,Curie,310.0,False,1
Co20,15,Curie,210.0,False,2
Cd2Nb2O6S,16,Curie,275.0,False,1
CoCr2S4,17,Curie,240.0,False,1
Rh,18,Néel,22.5,False,6
GdNi3MnSi,19,Curie,136.0,False,1
yH2O,20,Curie,4.0,False,1
CeRu3Si2,21,Curie,1.0,False,4
Co3O4,22,Néel,44.264150943396224,False,53
K2BiNb5O15,23,Curie,633.0,False,2
Fe50Zn50,24,Curie,915.0,False,2
A4O4Se3,25,Néel,8.0,False,1
LiNaSr4Nb10O30,26,Curie,291.0,False,1
GdNiAl2,27,Curie,47.3,False,10
Co5,28,Curie,22.5,False,2
Fe80B10Zr9Cu1,29,Curie,461.5,False,2
Ni3Mn,30,Curie,384.25,False,4
Fe74Cu1Zr3Si13B9,31,Curie,590.0,False,5
Sr15,32,Curie,232.0,False,1
GdCo3B2,33,Curie,54.0,False,1
Thiourea,34,Curie,169.0,False,1
CeTe2,35,Néel,4.0,False,5
Yb3Ru4Al12,36,Néel,1.0,False,2
CeCu5Au,37,Néel,89.33333333333333,False,3
Gd2Fe14B,38,Curie,655.0,False,1
SmFe10Mo2,39,Curie,519.0,False,1
GdB4,40,Néel,42.0,False,2
DyFexSn2,41,Néel,13.4,False,10
Pb2FeV3O11,42,Néel,2.0,False,1
HoZnSn2,43,Néel,2.5,False,4
BaBiNb2O9,44,Curie,443.0,False,1
Pb3O4,45,Curie,344.3333333333333,False,3
CuO2,46,Curie,114.75,False,8
La4Cu3MoO12,47,Néel,0.3333333333333333,False,3
Co3Pt,48,Curie,1200.0,False,1
GdI2,49,Curie,276.0,False,2
Tb2Fe12Ga5,50,Curie,516.0,False,1
LiBa2Nb5O15,51,Curie,473.0,False,3
BaEr2O4,52,Néel,6.0,False,4
PbFeBO4,53,Néel,246.0,False,15
Bi2Te3,54,Curie,8.333333333333334,False,6
"1,400",55,Curie,343.0,False,1
GdFeSi,56,Curie,135.0,False,3
NdCrSb3,57,Curie,142.0,False,1
Fe30Cr70,58,Curie,50.0,False,2
K2Ba6Si46,59,Curie,4.0,False,1
Ba2GdRu1,60,Néel,37.0,False,1
HoAgAl,61,Curie,18.0,False,5
Fe67Co20B13,62,Curie,497.0,False,1
Mn5Si3,63,Curie,350.0,False,1
Fe87Zr9B4,64,Curie,311.0,False,2
Ni36Fe14Mn32Ga18,65,Curie,342.0,False,1
PuSi,66,Curie,72.0,False,1
BaZnF4,67,Curie,282.0,False,1
ErMn4Fe2Sn6,68,Néel,269.0,False,2
Ni80Cr12Fe8,69,Curie,231.0,False,2
LiBiO2,70,Curie,526.25,False,4
Ni50Mn34In15,71,Curie,313.0,False,1
BiTN,72,Curie,1203.0,False,1
Sm3Co29Ge4B10,73,Curie,205.0,False,1
LiVCuO4,74,Curie,265.0,False,2
DyCoNi,75,Curie,68.0,False,2
NiCuMnIn,76,Curie,340.0,False,1
Mn46,77,Curie,185.0,False,1
Li6Mn13Fe2O28,78,Curie,276.0,False,1
Nd2AlFe11Mn5,79,Curie,150.0,False,1
Er4PtMg,80,Curie,15.0,False,1
PrNiSb2,81,Néel,6.0,False,2
BaPr2O4,82,Néel,111.5,False,4
EuRh2Si2,83,Néel,37.333333333333336,False,3
Sm2Fe17Intermetallic,84,Curie,665.5,False,2
Ni3Pt,85,Curie,383.0,False,3
SrM,86,Curie,735.5,False,2
Mn2NiB,87,Curie,528.0,False,1
Li4Mn11Fe6O28,88,Curie,276.0,False,1
Gr25Sps75,89,Néel,4.0,False,1
DyAuSn,90,Néel,6.6,False,15
Dy4Ni2InGe4,91,Néel,30.0,False,1
Y2Co6CuB3,92,Curie,190.0,False,1
LaPtSn,93,Néel,7.0,False,2
GdMn6Al6,94,Néel,122.0,False,3
V3Ga,95,Curie,15.0,False,1
Ce2Fe17,96,Néel,207.64705882352942,False,17
Fe86Co4Zr10,97,Curie,164.5,False,2
