,,Type,Normalised Value,flag
LFPbO,0,Curie,997.0,False
SrLaMnO4,1,Néel,128.0,False
PrMnO3,2,Néel,84.28571428571429,False
Cd2Nb2O6S,3,Curie,275.0,False
PrOFeP,4,Curie,3.0,False
Our,5,Curie,32.5,False
Fe2CuO4,6,Néel,780.0,False
La3Co2SbO9,7,Curie,55.0,False
Sr2NiWO6,8,Néel,54.0,False
αFeOOH,9,Néel,423.0,False
UOsAl,10,Curie,42.0,False
SrTeO3,11,Curie,276.0,False
FePbP2O7,12,Néel,10.0,False
HoFeO3,13,Néel,425.8333333333333,False
LaSrMnO,14,Curie,363.85714285714283,False
La2CoMnO6,15,Curie,200.08333333333334,False
Mn2GeO4,16,Néel,10.0,False
O48Nd,17,Curie,3.0,False
Co4Nb2O9,18,Néel,27.0,False
NdMn2O5,19,Néel,75.0,False
Fe2OBO3,20,Curie,155.0,False
SeCuO3,21,Curie,25.0,False
BaPr2O4,22,Néel,111.5,False
EuFeO3,23,Néel,13.333333333333334,False
BiMnO3,24,Curie,134.03030303030303,False
LaOFeAs,25,Néel,99.5,False
FeBO3,26,Néel,348.0,False
Ba3Fe2TeO9,27,Néel,223.0,False
Ca2Fe2O5,28,Néel,725.0,False
SrBi2Ta2O9,29,Curie,527.25,False
CeO2,30,Curie,544.3529411764706,False
CdFe2O4,31,Curie,10.0,False
SmOFeAs,32,Curie,54.0,False
FeO,33,Néel,261.8205128205128,False
NiTiO3,34,Néel,18.5,False
PbTa2O6,35,Curie,283.0,False
La2TiO5,36,Curie,1027.0,False
BaCrFe11O19,37,Curie,752.0,False
PdCrO2,38,Néel,37.0,False
LaMnO3Perovskite,39,Curie,193.0,False
αFe2O3,40,Néel,948.0,False
RFeO3,41,Néel,287.6666666666667,False
Ba2CoWO6,42,Néel,19.0,False
NdCrGeO5,43,Néel,2.0,False
Ce5Pb3O,44,Curie,46.0,False
IrSr2TbCu2O8,45,Néel,28.5,False
YBa2Cu3O7,46,Curie,92.7,False
