name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags
YMnO3,3957,Néel,299.64179104477614,False,67,"{'Y': 1.0, 'Mn': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gd5Ge4,3956,Néel,123.14285714285714,False,7,"{'Gd': 5.0, 'Ge': 4.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
NdCu2,3954,Néel,6.0,False,1,"{'Nd': 1.0, 'Cu': 2.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sr2MnWO6,3953,Néel,17.428571428571427,False,7,"{'Sr': 2.0, 'Mn': 1.0, 'W': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sr2CuO3,3952,Néel,5.0,False,2,"{'Sr': 2.0, 'Cu': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gd5Ge3,3951,Néel,75.0,False,4,"{'Gd': 5.0, 'Ge': 3.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
NdFeB,3950,Curie,585.0,False,1,"{'Nd': 1.0, 'Fe': 1.0, 'B': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
NdVO3,3947,Curie,138.0,False,1,"{'Nd': 1.0, 'V': 1.0, 'O': 3.0}",True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Fe2NiGa,3946,Curie,837.0,False,1,"{'Fe': 2.0, 'Ni': 1.0, 'Ga': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NiFe1,3944,Curie,359.0,False,2,"{'Ni': 1.0, 'Fe': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RuSr2GdCu2O8,3943,Curie,79.62068965517241,False,29,"{'Ru': 1.0, 'Sr': 2.0, 'Gd': 1.0, 'Cu': 2.0, 'O': 8.0}",True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
NaNiF3,3942,Néel,22.0,False,1,"{'Na': 1.0, 'Ni': 1.0, 'F': 3.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NaTaO3,3941,Curie,748.0,False,1,"{'Na': 1.0, 'Ta': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ni6,3940,Néel,523.0,False,1,{'Ni': 6.0},True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fe80Ni10Zr10,3936,Curie,356.0,False,2,"{'Fe': 80.0, 'Ni': 10.0, 'Zr': 10.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CrSb2,3935,Néel,273.0,False,8,"{'Cr': 1.0, 'Sb': 2.0}",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fe20Nd80,3933,Curie,502.0,False,1,"{'Fe': 20.0, 'Nd': 80.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Al94Gd6,3932,Néel,136.5,False,4,"{'Al': 94.0, 'Gd': 6.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
HoCoNi,3931,Néel,42.0,False,1,"{'Ho': 1.0, 'Co': 1.0, 'Ni': 1.0}",True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
PbK2LiNb5O15,3930,Curie,639.0,False,1,"{'Pb': 1.0, 'K': 2.0, 'Li': 1.0, 'Nb': 5.0, 'O': 15.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DyRhGe2,3929,Néel,6.5,False,6,"{'Dy': 1.0, 'Rh': 1.0, 'Ge': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Dy6W4Al43,3927,Néel,3.0,False,6,"{'Dy': 6.0, 'W': 4.0, 'Al': 43.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
